"key","name","num","chartType","targetA","targetB","actualDiff","input","time","chartData_1","chartData_2","chartData_3","chartData_4","chartData_5","chartData_6","chartData_7","chartData_8","chartData_9","chartData_10"
"j59m5fjj","VanshikaC",1,"Bar",39,16,0.41,0.33,36.26,95,16,57,39,28,80,72,50,64,3
"j59m5fjj","VanshikaC",2,"Bubble",52,83,0.63,0.8,46.72,28,22,11,52,73,57,36,83,4,68
"j59m5fjj","VanshikaC",3,"pie",47,96,0.49,0.5,63,14,96,68,62,73,47,22,36,57,78
"j59m5fjj","VanshikaC",4,"Bubble",31,71,0.44,0.6,73.97,6,71,36,13,66,31,42,55,49,93
"j59m5fjj","VanshikaC",5,"pie",41,88,0.47,0.3,85.13,96,88,13,3,56,35,65,41,30,50
"j59m5fjj","VanshikaC",6,"Bar",13,39,0.33,0.2,93.1,22,75,13,44,55,39,68,60,7,92
"j59m5fjj","VanshikaC",7,"pie",95,72,0.76,0.9,98.31,41,89,22,95,13,72,83,6,47,57
"j59m5fjj","VanshikaC",8,"Bar",39,56,0.7,0.75,105.92,56,15,27,85,62,39,77,94,51,7
"j59m5fjj","VanshikaC",9,"Bubble",45,18,0.4,0.5,115.13,57,69,91,18,77,4,84,62,25,45
"j59m5fjj","VanshikaC",10,"Bar",60,89,0.67,0.6,124.04,55,44,10,89,21,38,73,60,67,29
"j59m5fjj","VanshikaC",11,"Bubble",84,34,0.4,0.6,130.17,63,45,6,58,68,34,26,84,94,76
"j59m5fjj","VanshikaC",12,"pie",60,53,0.88,0.95,135.1,60,16,28,23,83,53,42,71,93,77
"j59m5fjj","VanshikaC",13,"Bubble",72,79,0.91,1,139.58,46,84,51,41,72,31,79,64,4,21
"j59m5fjj","VanshikaC",14,"pie",33,80,0.41,0.2,153.15,42,33,13,26,4,62,98,73,80,52
"j59m5fjj","VanshikaC",15,"Bar",57,21,0.37,0.33,159.27,41,47,91,57,75,26,36,65,83,21
"j59m5fjj","VanshikaC",16,"pie",38,88,0.43,0.35,166.85,30,88,81,14,93,62,38,20,44,75
"j59m5fjj","VanshikaC",17,"Bar",86,9,0.1,0.1,170.83,91,24,58,48,9,99,79,63,73,86
"j59m5fjj","VanshikaC",18,"Bubble",15,9,0.6,0.9,174.83,34,15,70,91,65,86,23,9,49,29
"j59m5fjj","VanshikaC",19,"Bar",48,18,0.38,0.4,179.25,77,29,39,23,66,18,56,89,48,84
"j59m5fjj","VanshikaC",20,"Bubble",43,21,0.49,0.8,183.01,26,21,87,51,8,43,31,58,74,65
"j59m5fjj","VanshikaC",21,"pie",98,10,0.1,0.05,186.33,44,81,73,31,50,64,98,19,10,57
"j59m5fjj","VanshikaC",22,"Bubble",36,26,0.72,0.85,191.45,13,82,26,47,88,36,65,76,57,5
"j59m5fjj","VanshikaC",23,"pie",41,50,0.82,0.8,195.93,14,68,5,41,59,50,29,83,22,94
"j59m5fjj","VanshikaC",24,"Bar",18,92,0.2,0.16,241.5,85,58,51,18,35,43,30,77,92,99
"j59m5fjj","VanshikaC",25,"pie",17,54,0.31,0.2,248.55,47,81,4,17,42,93,54,76,24,68
"j59m5fjj","VanshikaC",26,"Bar",57,77,0.74,0.7,252.39,99,77,89,38,22,32,48,64,84,57
"j59m5fjj","VanshikaC",27,"Bubble",61,69,0.88,0.99,255.91,14,82,5,69,26,75,61,94,99,55
"j59m5fjj","VanshikaC",28,"Bar",99,52,0.53,0.55,264.25,19,26,52,67,76,5,40,35,99,62
"j59m5fjj","VanshikaC",29,"Bubble",96,90,0.94,0.89,268.09,79,18,68,74,90,32,23,96,11,43
"j59m5fjj","VanshikaC",30,"pie",76,3,0.04,0.02,273.46,28,91,76,55,84,65,43,97,3,13
"j59m5fjj","VanshikaC",31,"Bubble",96,60,0.63,0.7,278.7,10,80,60,68,96,41,49,32,88,74
"j59m5fjj","VanshikaC",32,"pie",51,77,0.66,0.6,287.19,97,51,34,62,39,72,17,91,3,77
"j59m5fjj","VanshikaC",33,"Bar",94,60,0.64,0.75,295.38,33,27,45,60,73,87,66,39,94,14
"j59m5fjj","VanshikaC",34,"pie",91,58,0.64,0.7,303.67,64,96,58,9,33,50,91,45,28,19
"j59m5fjj","VanshikaC",35,"Bar",25,81,0.31,0.3,307.6,81,99,25,50,40,57,16,31,94,65
"j59m5fjj","VanshikaC",36,"Bubble",41,56,0.73,0.7,313.25,56,96,48,85,61,41,11,36,79,91
"j59m2hq1","jack",1,"Bar",42,87,0.48,0.5,44.03,97,42,70,61,9,4,29,80,15,87
"j59m2hq1","jack",2,"Bubble",50,64,0.78,0.5,52.84,13,55,50,7,78,64,88,41,96,25
"j59m2hq1","jack",3,"pie",5,96,0.05,0.05,78.8,67,96,60,77,33,19,55,38,5,28
"j59m2hq1","jack",4,"Bubble",88,9,0.1,0.3,86.9,68,3,44,29,9,19,54,88,93,36
"j59m2hq1","jack",5,"pie",83,92,0.9,0.9,92.98,9,65,40,92,19,83,48,35,98,78
"j59m2hq1","jack",6,"Bar",70,65,0.93,0.95,99.84,26,58,70,32,96,79,46,40,65,16
"j59m2hq1","jack",7,"pie",75,80,0.94,1,108.28,36,68,22,75,28,97,4,44,80,54
"j59m2hq1","jack",8,"Bar",13,32,0.41,0.5,115.54,13,86,78,5,38,53,32,68,60,23
"j59m2hq1","jack",9,"Bubble",78,28,0.36,0.45,124.39,14,21,41,70,90,55,78,84,49,28
"j59m2hq1","jack",10,"Bar",18,84,0.21,0.15,130.51,35,41,54,79,84,4,18,91,99,46
"j59m2hq1","jack",11,"Bubble",78,46,0.59,0.75,134.86,28,89,46,22,78,62,13,52,33,98
"j59m2hq1","jack",12,"pie",49,18,0.37,0.3,144.31,49,88,27,74,62,8,36,96,18,43
"j59m2hq1","jack",13,"Bubble",19,80,0.24,0.5,153.93,27,88,64,80,5,19,72,36,46,58
"j59m2hq1","jack",14,"pie",15,37,0.41,0.75,160.77,43,55,49,92,9,37,76,15,99,20
"j59m2hq1","jack",15,"Bar",41,59,0.69,0.8,170.31,52,64,30,41,19,5,76,84,59,95
"j59m2hq1","jack",16,"pie",99,65,0.66,0.8,182.91,77,16,24,8,65,40,60,83,99,30
"j59m2hq1","jack",17,"Bar",85,23,0.27,0.35,190.22,13,85,3,34,23,74,79,54,43,62
"j59m2hq1","jack",18,"Bubble",31,12,0.39,0.5,199.48,31,44,12,80,72,55,23,89,63,37
"j59m2hq1","jack",19,"Bar",51,75,0.68,0.76,205.97,25,31,83,37,3,92,75,60,51,97
"j59m2hq1","jack",20,"Bubble",9,18,0.5,0.85,230.06,58,38,9,70,50,85,77,45,18,94
"j59m2hq1","jack",21,"pie",29,20,0.69,0.7,243.92,84,29,97,48,69,20,76,61,53,89
"j59m2hq1","jack",22,"Bubble",35,68,0.51,0.65,253.27,49,77,85,15,9,44,68,91,60,35
"j59m2hq1","jack",23,"pie",46,65,0.71,0.68,265.27,36,99,79,41,5,65,54,73,30,46
"j59m2hq1","jack",24,"Bar",20,90,0.22,0.2,271.65,9,20,59,70,95,25,32,90,78,3
"j59m2hq1","jack",25,"pie",50,39,0.78,0.85,281.65,27,99,84,63,58,39,74,50,34,21
"j59m2hq1","jack",26,"Bar",30,96,0.31,0.35,291.7,30,42,81,25,47,6,64,96,57,89
"j59m2hq1","jack",27,"Bubble",85,33,0.39,0.65,298.4,33,65,10,57,21,80,43,85,73,38
"j59m2hq1","jack",28,"Bar",26,89,0.29,0.35,305.32,26,13,20,71,78,44,89,37,57,62
"j59m2hq1","jack",29,"Bubble",63,28,0.44,0.8,312,79,13,98,3,37,51,28,44,63,73
"j59m2hq1","jack",30,"pie",68,23,0.34,0.3,319.78,56,33,39,51,23,17,5,68,46,92
"j59m2hq1","jack",31,"Bubble",70,28,0.4,0.5,326.06,28,17,36,70,53,47,96,84,6,58
"j59m2hq1","jack",32,"pie",28,10,0.36,0.5,332.21,98,64,54,33,39,78,10,85,28,59
"j59m2hq1","jack",33,"Bar",58,13,0.22,0.15,337.36,23,70,32,80,91,3,58,52,98,13
"j59m2hq1","jack",34,"pie",56,28,0.5,0.4,346.25,8,84,38,68,33,28,61,13,56,44
"j59m2hq1","jack",35,"Bar",66,82,0.8,0.95,353.23,22,7,93,58,46,82,74,66,37,13
"j59m2hq1","jack",36,"Bubble",56,90,0.62,0.9,362.42,62,56,13,23,40,80,95,90,46,71
"j58ihqdp","Vatsal Agarwal",1,"pie",91,69,0.76,0.66,37.79,14,69,6,91,53,76,43,58,28,21
"j58ihqdp","Vatsal Agarwal",2,"Bar",26,75,0.35,0.33,130.04,68,26,40,19,96,12,81,75,31,91
"j58ihqdp","Vatsal Agarwal",3,"Bubble",3,61,0.05,0.15,180.89,68,99,61,52,82,93,3,45,37,31
"j58ihqdp","Vatsal Agarwal",4,"Bar",41,95,0.43,0.46,226.46,14,88,24,78,41,62,55,68,50,95
"j58ihqdp","Vatsal Agarwal",5,"Bubble",97,10,0.1,0.4,266.77,78,41,26,10,67,36,97,49,5,54
"j58ihqdp","Vatsal Agarwal",6,"pie",24,58,0.41,0.39,300.32,72,24,91,17,29,8,58,34,64,46
"j58ihqdp","Vatsal Agarwal",7,"Bubble",97,26,0.27,0.44,345.4,91,26,19,47,76,36,42,97,65,83
"j58ihqdp","Vatsal Agarwal",8,"pie",15,97,0.15,0.41,374.67,90,97,38,46,24,65,15,4,77,58
"j58ihqdp","Vatsal Agarwal",9,"Bar",38,94,0.4,0.68,388.51,24,94,65,86,38,9,29,80,17,48
"j58ihqdp","Vatsal Agarwal",10,"pie",22,86,0.26,0.37,441.36,22,78,98,66,91,13,86,58,71,43
"j58ihqdp","Vatsal Agarwal",11,"Bar",29,64,0.45,0.42,513.85,82,35,5,64,45,55,14,91,29,74
"j58ihqdp","Vatsal Agarwal",12,"Bubble",88,24,0.27,0.49,568.08,74,32,83,7,37,88,63,48,24,97
"j58ihqdp","Vatsal Agarwal",13,"Bar",45,17,0.38,0.5,600.71,45,25,79,60,73,95,10,17,67,85
"j58ihqdp","Vatsal Agarwal",14,"Bubble",78,91,0.86,0.99,614.95,7,51,91,25,78,33,46,84,98,59
"j58ihqdp","Vatsal Agarwal",15,"pie",63,7,0.11,0.05,656.45,53,63,22,85,29,37,7,46,71,58
"j58ihqdp","Vatsal Agarwal",16,"Bubble",58,51,0.88,0.95,693.73,66,71,58,13,51,40,99,5,82,88
"j58ihqdp","Vatsal Agarwal",17,"pie",46,26,0.57,0.48,727.26,70,26,53,46,13,64,82,19,35,40
"j58ihqdp","Vatsal Agarwal",18,"Bar",76,71,0.93,0.75,756.68,41,57,76,85,24,66,92,97,33,71
"j58ihqdp","Vatsal Agarwal",19,"pie",72,44,0.61,0.38,801.67,6,92,72,61,33,18,44,23,55,81
"j58ihqdp","Vatsal Agarwal",20,"Bar",65,13,0.2,0.09,824.65,99,5,33,65,78,85,27,52,13,92
"j58ihqdp","Vatsal Agarwal",21,"Bubble",29,38,0.76,0.51,887.91,54,38,91,46,29,78,68,83,63,4
"j58ihqdp","Vatsal Agarwal",22,"Bar",95,70,0.74,0.78,906.46,88,16,3,95,79,8,70,64,57,52
"j58ihqdp","Vatsal Agarwal",23,"Bubble",34,84,0.4,0.51,985.58,93,40,84,7,34,16,77,45,24,52
"j58ihqdp","Vatsal Agarwal",24,"pie",56,38,0.68,0.69,1037.05,76,82,33,56,50,22,27,43,7,38
"j58ihqdp","Vatsal Agarwal",25,"Bubble",51,68,0.75,0.75,1062.65,39,51,33,93,77,9,24,46,62,68
